source,target
dance pop,minneapolis sound
hip hop,minneapolis sound
minneapolis sound,pop rap
easy listening,tin pan alley
lounge,tin pan alley
downtempo,etherpop
downtempo,metropopolis
torch song,vocal harmony group
vocal harmony group,vocal jazz
adult standards,canzone napoletana
adult standards,classical tenor
dark jazz,ecm-style jazz
dark jazz,jazz guitar
ecm-style jazz,jazz guitar
electro,new wave pop
folk punk,hardcore punk
bubblegum dance,candy pop
britpop,shoegaze
neo mellow,shoegaze
permanent wave,shoegaze
pop rock,shoegaze
brill building pop,hard rock
brill building pop,heartland rock
bubblegum pop,hard rock
bubblegum pop,heartland rock
ambient,cello
ambient,garage psych
ambient,indie folk
art pop,cello
art rock,cello
cello,chamber pop
cello,chamber psych
cello,dance rock
cello,dream pop
cello,experimental
cello,experimental rock
cello,fourth world
cello,freak folk
cello,garage psych
cello,indie rock
cello,lo-fi
cello,minimalism
cello,noise pop
cello,slow core
chamber pop,minimalism
chamber psych,minimalism
dance rock,garage psych
dream pop,minimalism
experimental,indie folk
fourth world,garage psych
fourth world,indie folk
freak folk,minimalism
garage psych,minimalism
indie folk,minimalism
indie rock,minimalism
lo-fi,minimalism
minimalism,noise pop
minimalism,slow core
flamenco,latin alternative
baroque pop,experimental rock
baroque pop,post-punk
experimental,melancholia
experimental,singer-songwriter
experimental rock,singer-songwriter
post-punk,singer-songwriter
alternative hip hop,trip hop
alternative rock,collage pop
athens indie,collage pop
athens indie,dream pop
athens indie,experimental rock
athens indie,slow core
collage pop,e6fi
collage pop,gbvfi
e6fi,experimental rock
papuri,tagalog worship
instrumental funk,jazz trio
instrumental funk,modern jazz trio
jam band,jazz trio
jam band,modern jazz trio
jazz funk,jazz trio
jazz funk,modern jazz trio
jazz organ,jazz trio
jazz organ,modern jazz trio
chicago soul,northern soul
canadian metal,power metal
canadian metal,vancouver punk
power metal,vancouver punk
speed metal,vancouver metal
speed metal,vancouver punk
vancouver metal,vancouver punk
blues,old-time
old-time,piedmont blues
anti-folk,psychedelic rock
boston rock,experimental
boston rock,experimental rock
boston rock,folk rock
boston rock,no wave
boston rock,protopunk
boston rock,psychedelic rock
boston rock,punk blues
boy band,modern rock
europop,modern rock
acid jazz,jazz funk
acid jazz,smooth jazz
alternative emo,boston rock
boston rock,emo
boston rock,emo punk
emo,virginia punk
melodic hardcore,virginia punk
orgcore,virginia punk
punk,virginia punk
skate punk,virginia punk
canadian punk,emo
canadian punk,emo punk
classic soul,mexican classic rock
abstract,art pop
abstract,fluxwork
abstract,j-ambient
abstract,japanese electronic
abstract,japanese idm
ambient,drill and bass
ambient,japanese electronic
ambient,japanese idm
art pop,drill and bass
art pop,j-ambient
art pop,japanese electronic
art pop,japanese idm
compositional ambient,drill and bass
compositional ambient,japanese electronic
compositional ambient,japanese idm
drill and bass,drone
drill and bass,dub techno
drill and bass,fluxwork
drill and bass,fourth world
drill and bass,j-ambient
drill and bass,japanese electronic
drill and bass,japanese idm
drone,japanese electronic
drone,japanese idm
dub techno,j-ambient
dub techno,japanese electronic
dub techno,japanese idm
electronica,j-ambient
electronica,japanese electronic
electronica,japanese idm
fluxwork,j-ambient
fluxwork,japanese electronic
fluxwork,japanese idm
fourth world,japanese electronic
fourth world,japanese idm
intelligent dance music,j-ambient
intelligent dance music,japanese electronic
intelligent dance music,japanese idm
j-ambient,japanese electronic
j-ambient,japanese idm
j-ambient,microhouse
j-ambient,minimal techno
japanese electronic,japanese idm
japanese electronic,microhouse
japanese electronic,minimal techno
japanese idm,microhouse
japanese idm,minimal techno
ambient folk,lancaster pa indie
ambient folk,slow core
chamber pop,lancaster pa indie
lancaster pa indie,slow core
classic garage rock,death metal
classic garage rock,gothenburg metal
classic garage rock,groove metal
classic garage rock,melodic death metal
classic garage rock,melodic metalcore
classic garage rock,metal
classic garage rock,swedish metal
british choir,classical
british choir,classical performance
british choir,early music
british choir,early music choir
british choir,early music ensemble
british choir,monastic
british choir,polyphony
choral,early music choir
classical,early music choir
classical,early music ensemble
classical,monastic
classical,polyphony
classical performance,early music choir
classical performance,monastic
classical performance,polyphony
early music,early music choir
early music,monastic
early music,polyphony
early music choir,early music ensemble
early music choir,monastic
early music choir,polyphony
early music ensemble,monastic
early music ensemble,polyphony
monastic,polyphony
moldovan pop,romanian pop
bubblegum dance,moldovan pop
eurodance,moldovan pop
europop,moldovan pop
alternative metal,louisville indie
groove metal,hard alternative
groove metal,louisville indie
hard alternative,industrial metal
hard alternative,louisville indie
industrial metal,louisville indie
louisville indie,nu metal
louisville indie,post-grunge
louisville indie,rap rock
britpop,welsh indie
chamber psych,welsh rock
chinese traditional,erhu
nashville singer-songwriter,texas country
birmingham hip hop,grime
birmingham hip hop,modern rock
birmingham hip hop,uk garage
grime,modern rock
grime,uk garage
modern rock,uk garage
detroit hip hop,west coast rap
banda carnavalera,corrido
boston punk,melodic hardcore
boston punk,orgcore
anti-folk,escape room
anti-folk,experimental
anti-folk,grave wave
art pop,bay area indie
bay area indie,escape room
bay area indie,experimental
bay area indie,experimental rock
bay area indie,grave wave
bay area indie,slow core
chamber pop,grave wave
escape room,lo-fi
experimental,grave wave
experimental rock,grave wave
freak folk,grave wave
grave wave,lo-fi
grave wave,noise rock
grave wave,slow core
diva house,house
arab pop,rai
lebanese pop,rai
europop,uk garage
girl group,uk garage
chunchaca,ranchera
chunchaca,regional mexican
colombian rock,salsa colombiana
kiwi rock,nz hardcore
kiwi rock,nz punk
nz hardcore,nz punk
groove metal,grunge
groove metal,post-hardcore
grunge,industrial metal
industrial metal,post-hardcore
industrial metal,stoner rock
post-hardcore,rap rock
belgian singer-songwriter,chanson
belgian singer-songwriter,french rock
hardcore punk,ska
finnish death metal,symphonic black metal
finnish death metal,symphonic death metal
finnish metal,symphonic death metal
folk metal,symphonic death metal
power metal,symphonic death metal
progressive metal,symphonic black metal
progressive metal,symphonic death metal
symphonic death metal,viking metal
candy pop,garage rock
candy pop,glam punk
candy pop,power-pop punk
glam punk,power-pop punk
acousmatic,electroacoustic composition
acousmatic,vintage french electronic
avant-garde,electroacoustic composition
avant-garde,vintage french electronic
electroacoustic composition,musique concrete
electroacoustic composition,vintage french electronic
musique concrete,vintage french electronic
french rock,ye ye
nouvelle chanson francaise,ye ye
alternative rock,metropopolis
anti-folk,metropopolis
dream pop,e6fi
e6fi,melancholia
e6fi,metropopolis
e6fi,permanent wave
e6fi,slow core
lo-fi,metropopolis
metropopolis,slow core
alternative dance,techno
big beat,techno
techno,trip hop
alternative ccm,christian alternative rock
comic,outsider
indie pop,new wave pop
latin hip hop,reggae en espanol
reggae en espanol,spanish hip hop
neo-psychedelic,swedish indie rock
swedish indie rock,swedish psychedelic rock
indonesian indie,math rock
dark jazz,german electronica
cueca chilena,mexican traditional
anti-folk,art punk
anti-folk,madchester
anti-folk,no wave
anti-folk,punk blues
anti-folk,uk post-punk
lo-fi,madchester
madchester,noise rock
madchester,punk blues
noise rock,uk post-punk
gothic americana,roots rock
bossa nova jazz,brazilian jazz
bossa nova jazz,jazz funk
bossa nova jazz,jazz fusion
bossa nova jazz,soul jazz
brazilian jazz,jazz funk
brazilian jazz,jazz fusion
brazilian jazz,soul jazz
brazilian jazz,choro
brazilian jazz,forro
brazilian jazz,velha guarda
choro,jazz guitar
forro,jazz guitar
jazz guitar,mpb
jazz guitar,samba
jazz guitar,velha guarda
bossa nova,easy listening
bossa nova,exotica
bossa nova,jazz organ
bossa nova,space age pop
easy listening,jazz organ
exotica,jazz organ
jazz organ,lounge
jazz organ,space age pop
american shoegaze,dreamgaze
american shoegaze,indie shoegaze
dream pop,dreamgaze
dream pop,indie shoegaze
dreamgaze,indie shoegaze
dreamgaze,noise pop
dreamgaze,nu gaze
dreamgaze,shoegaze
indie shoegaze,noise pop
indie shoegaze,nu gaze
indie shoegaze,shoegaze
christian alternative rock,swedish alternative rock
christian hardcore,swedish alternative rock
christian metal,swedish alternative rock
christian punk,swedish alternative rock
christian rock,swedish alternative rock
dreamo,swedish alternative rock
croatian pop,narodna muzika
croatian rock,narodna muzika
narodna muzika,yugoslav rock
death metal,mathcore
death metal,post-doom metal
death metal,sludge metal
death metal,virginia metal
deathgrind,mathcore
deathgrind,post-doom metal
deathgrind,sludge metal
deathgrind,virginia metal
goregrind,mathcore
goregrind,post-doom metal
goregrind,sludge metal
goregrind,virginia metal
grindcore,mathcore
grindcore,post-doom metal
grindcore,sludge metal
grindcore,virginia metal
mathcore,virginia metal
acousmatic,classical
acousmatic,contemporary classical
acousmatic,orchestral performance
acousmatic,serialism
avant-garde,orchestral performance
contemporary classical,orchestral performance
orchestral performance,serialism
bluegrass gospel,yodeling
glitch,popping
bolero,dominican pop
bolero,merengue
bolero,puerto rican pop
dominican pop,puerto rican pop
merengue,puerto rican pop
merengue,salsa
arab folk,norwegian jazz
bitpop,future rock
bitpop,melodic death metal
bitpop,power metal
bitpop,swedish metal
future rock,melodic death metal
future rock,power metal
future rock,swedish metal
beatdown,hardcore
classic thai pop,thai pop
ambient,electroacoustic improvisation
ambient,mandible
art pop,electroacoustic improvisation
art pop,glitch
compositional ambient,electroacoustic improvisation
compositional ambient,mandible
drone,electroacoustic improvisation
drone,mandible
dub techno,electroacoustic improvisation
dub techno,mandible
electroacoustic improvisation,experimental pop
electroacoustic improvisation,fluxwork
electroacoustic improvisation,fourth world
electroacoustic improvisation,freak folk
electroacoustic improvisation,glitch
electroacoustic improvisation,intelligent dance music
electroacoustic improvisation,mandible
electroacoustic improvisation,microhouse
electroacoustic improvisation,post-rock
electroacoustic improvisation,slow core
electroacoustic improvisation,warm drone
experimental,glitch
experimental,mandible
experimental pop,glitch
experimental pop,mandible
fluxwork,glitch
fourth world,mandible
freak folk,glitch
freak folk,mandible
glitch,mandible
glitch,post-rock
glitch,slow core
glitch,warm drone
mandible,post-rock
mandible,slow core
mandible,warm drone
neo r&b,smooth soul
big beat,drum and bass
downtempo,drum and bass
drum and bass,electronica
drum and bass,ninja
drum and bass,nu jazz
drum and bass,trip hop
drum and bass,turntablism
dark wave,experimental
dark wave,industrial
electro-industrial,experimental
experimental,industrial metal
alternative rock,buffalo ny indie
anti-folk,electronica
anti-folk,shoegaze
art pop,buffalo ny indie
art rock,buffalo ny indie
art rock,shoegaze
buffalo ny indie,chamber pop
buffalo ny indie,chamber psych
buffalo ny indie,dream pop
buffalo ny indie,electronica
buffalo ny indie,indie rock
buffalo ny indie,lo-fi
buffalo ny indie,melancholia
buffalo ny indie,noise pop
buffalo ny indie,shoegaze
buffalo ny indie,slow core
electronica,melancholia
melancholia,shoegaze
ok indie,stomp pop
acoustic blues,rhythm and blues
harmonica blues,rhythm and blues
harmonica blues,texas blues
bow pop,oceania soundtrack
ethereal wave,oceania soundtrack
neoclassical,oceania soundtrack
deep idm,indie electronica
drill and bass,indie electronica
indie electronica,intelligent dance music
latin alternative,reggae mexicano
mexican rock,reggae en espanol
mexican rock,reggae mexicano
reggae en espanol,reggae mexicano
reggae en espanol,ska mexicano
reggae mexicano,rock en espanol
reggae mexicano,ska mexicano
deep soundtrack,scorecore
arab folk,roots rock
comic,country road
comic,redneck
country,novelty
country,parody
country road,novelty
country road,parody
novelty,parody
novelty,redneck
parody,redneck
cubaton,son cubano
finnish metal,symphonic black metal
dreamo,melancholia
dreamo,slow core
emo,melancholia
emo punk,melancholia
emo punk,slow core
amharic pop,eritrean pop
eritrean pop,ethiopian pop
latin christian,merengue
abstract hip hop,chicago rap
chicago rap,underground rap
turkish hip hop,turkish rock
neo-trad metal,nwothm
garage rock,ye ye
italian metal,melodic metal
italian metal,neo classical metal
italian metal,power metal
italian metal,progressive metal
italian metal,speed metal
atmospheric black metal,chicano rap
atmospheric black metal,depressive black metal
chicano rap,depressive black metal
classic canadian rock,native american
mellow gold,native american
native american,roots rock
alternative pop,dayton indie
alternative rock,dayton indie
boston rock,dayton indie
boston rock,dream pop
boston rock,indie rock
boston rock,lo-fi
boston rock,post-punk
dance rock,dayton indie
dayton indie,dream pop
dayton indie,garage rock
dayton indie,indie rock
dayton indie,lo-fi
dayton indie,noise pop
dayton indie,post-punk
alternative dance,dance rock
alternative dance,experimental
alternative dance,new wave
chamber psych,dance rock
chamber psych,new wave
dance rock,neo-psychedelic
experimental pop,new wave
neo-psychedelic,new wave
crossover thrash,edinburgh metal
crossover thrash,oi
edinburgh metal,hardcore punk
edinburgh metal,oi
edinburgh metal,punk
classic mandopop,enka
enka,kayokyoku
cumbia,peruvian rock
cumbia,pop peruano
latin,peruvian rock
latin,pop peruano
latin pop,peruvian rock
latin pop,pop peruano
cyberpunk,new age
experimental ambient,microhouse
anime latino,j-pop
anime latino,j-pop girl group
anime latino,j-rock
j-pop girl group,j-rock
chicago indie,dream pop
chicago indie,experimental
chicago indie,experimental rock
chicago indie,lo-fi
chicago indie,math rock
chicago indie,post-rock
chicago indie,slow core
cantonese traditional,chinese traditional
japanese classical performance,violin
indie rock,rhode island indie
latin hip hop,rap salvadoreno
argentine rock,cumbia villera
cumbia villera,latin alternative
cumbia villera,rock en espanol
classic mandopop,taiwan pop
turkish alternative,turkish pop
turkish alternative rock,turkish pop
turkish pop,turkish rock
australian dance,australian talent show
anglican liturgy,classical
anglican liturgy,early music
anglican liturgy,english renaissance
anglican liturgy,renaissance
choral,classical
choral,classical baritone
classical,classical baritone
classical,opera
classical baritone,classical performance
classical baritone,opera
classic opm,pinoy metal
opm,pinoy metal
pinoy metal,pinoy rock
pinoy metal,pop rock
hardcore hip hop,horrorcore
argentine punk,argentine rock
argentine punk,latin alternative
argentine punk,latin rock
argentine punk,rock en espanol
argentine punk,rock nacional
alternative pop,melancholia
alternative pop,rhode island indie
boston rock,melancholia
boston rock,rhode island indie
lilith,rhode island indie
melancholia,rhode island indie
brazilian metal,neo classical metal
brazilian metal,power metal
brazilian metal,progressive metal
latin metal,neo classical metal
latin metal,power metal
latin metal,progressive metal
drone metal,palm desert scene
israeli classical,oriental classical
austro-german modernism,contemporary classical
austro-german modernism,laboratorio
broken beat,funk
broken beat,indie jazz
broken beat,indie soul
broken beat,neo r&b
broken beat,nu jazz
deep house,funk
deep house,neo r&b
neo r&b,nu jazz
neo soul,nu jazz
sevdah,turbo folk
sevdah,yugoslav rock
turbo folk,yugoslav rock
dark cabaret,deep acoustic pop
dungeon synth,ethereal wave
dungeon synth,neoclassical
ethereal wave,rune folk
amharic pop,ethio-jazz
ethio-jazz,ethiopian pop
banjo,clawhammer banjo
clawhammer banjo,progressive bluegrass
instrumental bluegrass,mountain dulcimer
mountain dulcimer,old-time
mountain dulcimer,string folk
old-time,string folk
appalachian folk,string band
modern old-time,string band
old-time,string band
string band,traditional folk
abstract hip hop,classic opm
canadian hardcore,hardcore
canadian punk,hardcore
c-pop,hokkien pop
hokkien pop,mandopop
classic mandopop,hokkien pop
hokkien pop,taiwan campus folk
big beat,psychedelic trance
cancion infantil mexicana,musica para ninos
chinese indie rock,chinese punk
latin metal,spanish metal
argentine rock,cumbia pop
cumbia pop,latin alternative
cumbia pop,latin rock
cumbia pop,rock nacional
folk punk,new jersey punk
indie punk,new jersey punk
new jersey punk,orgcore
new jersey punk,power-pop punk
emo,kansas indie
emo,lawrence ks indie
emo punk,kansas indie
emo punk,lawrence ks indie
jazz metal,rap metal
mathcore,rap metal
african gospel,afropop
african gospel,azontobeats
african gospel,rumba congolaise
african gospel,soukous
boston rock,orgcore
boston rock,power-pop punk
classic arab pop,egyptian pop
cyber metal,groove metal
cyber metal,swiss metal
russian alternative,russian pop
russian alternative,russian punk
russian alternative,russian rock
russian pop,russian punk
russian punk,russian rock
brutal death metal,pagan black metal
brutal death metal,symphonic black metal
brutal death metal,viking metal
groove metal,pagan black metal
cumbia,musica llanera
christian hardcore,west virginia metal
christian metal,west virginia metal
christian punk,mathcore
christian punk,melodic metalcore
christian punk,west virginia metal
mathcore,west virginia metal
melodic metalcore,west virginia metal
appalachian folk,vintage old-time
banjo,traditional blues
banjo,vintage old-time
old-time,traditional blues
old-time,vintage old-time
traditional blues,traditional country
traditional blues,vintage old-time
traditional country,vintage old-time
traditional folk,vintage old-time
doom metal,swedish death metal
doom metal,symphonic black metal
swedish death metal,swedish doom metal
swedish doom metal,symphonic black metal
chicano punk,power-pop punk
canadian metal,industrial rock
classic venezuelan pop,gaita zuliana
big band,modern swing
big band,swing revival
modern swing,stride
modern swing,swing
modern swing,swing revival
stride,swing revival
cha-cha-cha,flamenco
cha-cha-cha,jazz cubano
flamenco,jazz cubano
flamenco,latin jazz
europop,eurovision
europop,greek pop
europop,laiko
eurovision,greek pop
eurovision,laiko
eurovision,swedish pop
greek pop,swedish pop
laiko,swedish pop
cook islands pop,samoan pop
cook islands pop,tahitian
polynesian pop,tahitian
samoan pop,tahitian
cumbia ecuatoriana,ecuadorian pop
bossa nova,sambass
big band,boogie-woogie
boogie-woogie,ragtime
boogie-woogie,stride
boogie-woogie,tin pan alley
boogie-woogie,vintage jazz
classic nz pop,kiwi rock
classic nz pop,nz singer-songwriter
kiwi rock,nz singer-songwriter
jam band,pittsburgh rock
grime,nz hip hop
grime,polynesian pop
bow pop,israeli hip hop
israeli hip hop,pop violin
dreamo,kc indie
dreamo,midwest emo
emo,kc indie
emo punk,kc indie
indie pop,midwest emo
kc indie,midwest emo
kc indie,pop punk
kc indie,post-hardcore
panamanian pop,tipico
bubblegum pop,deep adult standards
deep adult standards,merseybeat
christian alternative rock,neon pop punk
alternative rock,hauntology
art rock,hauntology
chamber pop,post-punk
chamber psych,post-punk
chillwave,post-punk
dance-punk,hauntology
electronica,post-punk
experimental,indie pop
experimental,neo-psychedelic
garage psych,hauntology
hauntology,indie pop
hauntology,indie rock
hauntology,lo-fi
hauntology,neo-psychedelic
hauntology,nu gaze
hauntology,post-punk
hauntology,slow core
indie pop,post-punk
indietronica,post-punk
neo-psychedelic,post-punk
psychobilly,roots rock
art rock,southern rock
early modern classical,polish classical
alternative pop,art pop
alternative pop,riot grrrl
alternative rock,riot grrrl
anti-folk,riot grrrl
art pop,olympia wa indie
art pop,riot grrrl
indie pop,riot grrrl
indie punk,lilith
indie rock,riot grrrl
lilith,lo-fi
lilith,noise pop
lilith,olympia wa indie
lilith,riot grrrl
lo-fi,riot grrrl
noise pop,riot grrrl
boom bap,nc hip hop
easy listening,stride
jazz trombone,stride
funk,west coast rap
hip house,west coast rap
chicago blues,jazz blues
chicago blues,texas blues
jazz blues,texas blues
early us punk,experimental rock
early us punk,no wave
early us punk,post-punk
early us punk,punk blues
art punk,dream pop
art punk,experimental rock
art punk,lo-fi
art punk,power pop
art punk,psychedelic rock
art punk,punk blues
dance-punk,folk rock
dance-punk,power pop
dance-punk,protopunk
dance-punk,psychedelic rock
dream pop,protopunk
dream pop,psychedelic rock
dream pop,punk blues
experimental,garage rock
folk rock,garage rock
folk rock,no wave
folk rock,punk blues
garage rock,no wave
no wave,protopunk
no wave,rock
country rock,ectofolk
ectofolk,roots rock
american primitive,fingerstyle
american primitive,folk
american primitive,roots rock
american primitive,traditional folk
fingerstyle,folk
fingerstyle,roots rock
fingerstyle,traditional folk
adult standards,classic opm
adult standards,manila sound
classic soul,latin afrobeat
jazz funk,latin afrobeat
latin afrobeat,soul
latin afrobeat,soul jazz
neo mellow,welsh rock
bluegrass gospel,country road
garage rock,math rock
instrumental stoner rock,sludge metal
instrumental stoner rock,swedish stoner rock
album rock,quiet storm
chamber pop,tucson indie
indie folk,tucson indie
roots rock,tucson indie
slow core,tucson indie
stomp and holler,tucson indie
british soul,new jack swing
rock en espanol,spanish new wave
classic indo pop,tahitian
brutal death metal,swedish death metal
brutal death metal,swedish metal
deathgrind,swedish death metal
deathgrind,swedish metal
swedish death metal,technical death metal
swedish metal,technical death metal
east coast hip hop,trap queen
modern jazz piano,stride
britpop,oxford indie
emo,uk post-hardcore
pop punk,uk post-hardcore
post-hardcore,uk post-hardcore
afrofuturism,east coast hip hop
afrofuturism,hardcore hip hop
afrofuturism,jazz rap
afrofuturism,rap
afrofuturism,turntablism
gospel singers,vocal harmony group
contemporary gospel,gospel singers
comic,modern ska punk
comic,ska
crossover thrash,technical death metal
deep funk,instrumental soul
instrumental soul,traditional soul
adult standards,romantico
lounge,romantico
instrumental rock,jam band
german pop,new wave
alternative country,experimental rock
anti-folk,experimental rock
art pop,gbvfi
dream pop,traditional folk
experimental rock,indie folk
experimental rock,traditional folk
gbvfi,traditional folk
noise pop,traditional folk
boston hardcore,boston punk
boston hardcore,punk
boston hardcore,ska punk
boston hardcore,skate punk
bossa nova,brazilian indie
brazilian indie,samba
bay area indie,jam band
cumbia pop,latin
cumbia pop,rock en espanol
cumbia pop,spanish pop
cumbia pop,spanish pop rock
jazz rap,new jersey rap
conscious hip hop,wu fam
detroit hip hop,horrorcore
jawaiian,png pop
png pop,polynesian pop
jawaiian,power noise
christian rock,indie pop
christian rock,piano rock
brutal death metal,oriental metal
death metal,oriental metal
deathgrind,oriental metal
groove metal,oriental metal
metal,oriental metal
oriental metal,technical death metal
cornwall indie,piano rock
irish fiddle,irish neo-traditional
hard bop,instrumental funk
american contemporary classical,experimental
avant-garde,experimental
classical,experimental
classical,free improvisation
contemporary classical,experimental
adult standards,calypso
brill building pop,calypso
calypso,lounge
alternative dance,belgian indie
alternative dance,belgian indie rock
alternative dance,ghent indie
alternative dance,mashup
belgian indie,belgian indie rock
belgian indie,big beat
belgian indie,dance-punk
belgian indie,electronica
belgian indie,filter house
belgian indie,mashup
belgian indie,new rave
belgian indie rock,big beat
belgian indie rock,dance-punk
belgian indie rock,electronica
belgian indie rock,filter house
belgian indie rock,ghent indie
belgian indie rock,mashup
belgian indie rock,new rave
big beat,ghent indie
big beat,mashup
dance-punk,ghent indie
dance-punk,mashup
electronica,ghent indie
electronica,mashup
filter house,ghent indie
filter house,mashup
ghent indie,mashup
ghent indie,new rave
mashup,new rave
boogie-woogie,chicago blues
piano blues,southern soul
rhythm and blues,soul blues
instrumental soul,jazz fusion
instrumental soul,jazz piano
instrumental soul,smooth jazz
doo-wop,funk
doo-wop,quiet storm
bossa nova,jazz flute
bossa nova,jazz funk
bossa nova,soul jazz
cool jazz,jazz flute
jazz flute,jazz funk
jazz flute,soul jazz
avant-garde,avant-garde jazz
avant-garde,bebop
avant-garde,contemporary post-bop
avant-garde,cool jazz
avant-garde,free jazz
avant-garde,hard bop
avant-garde,indie jazz
avant-garde,jazz
avant-garde,jazz funk
avant-garde,jazz saxophone
avant-garde,soul jazz
acid rock,classic canadian rock
acid rock,mellow gold
funk,heartland rock
british folk,celtic
british folk,uilleann pipes
dancehall,french hip hop
french hip hop,riddim
soul blues,swamp blues
jazz organ,rhythm and blues
rhythm and blues,soul jazz
jazz saxophone,space age pop
jump blues,space age pop
glam rock,progressive rock
piano rock,progressive rock
uk pop,vocal jazz
indian folk,sitar
indian folk,world
indian folk,world fusion
sitar,world
sitar,world fusion
world,world fusion
canadian folk,classic canadian rock
baroque pop,new wave pop
dance rock,piano rock
hip pop,uk garage
garage rock,neo mellow
g funk,popping
gangster rap,popping
hardcore hip hop,popping
hip hop,popping
hyphy,popping
popping,rap
popping,southern hip hop
popping,west coast rap
popping,west coast trap
canadian post-hardcore,dreamo
acoustic punk,alternative rock
acoustic punk,dance rock
acoustic punk,punk
acoustic punk,rock
native american,new mexico music
native american flute,new mexico music
instrumental rock,instrumental surf
instrumental rock,surf music
alternative country,american primitive
alternative country,drone
alternative country,drone folk
alternative country,experimental pop
alternative country,experimental psych
alternative country,free folk
alternative country,garage psych
alternative country,neo-psychedelic
american primitive,drone
american primitive,drone folk
american primitive,experimental pop
american primitive,experimental psych
american primitive,freak folk
american primitive,free folk
american primitive,garage psych
american primitive,indie folk
american primitive,lo-fi
american primitive,neo-psychedelic
american primitive,new weird america
american primitive,slow core
drone,drone folk
drone,experimental psych
drone,free folk
drone,garage psych
drone,indie folk
drone,neo-psychedelic
drone folk,experimental pop
drone folk,experimental psych
drone folk,freak folk
drone folk,free folk
drone folk,garage psych
drone folk,indie folk
drone folk,lo-fi
drone folk,neo-psychedelic
drone folk,new weird america
drone folk,slow core
experimental pop,experimental psych
experimental pop,free folk
experimental psych,freak folk
experimental psych,free folk
experimental psych,garage psych
experimental psych,indie folk
experimental psych,lo-fi
experimental psych,neo-psychedelic
experimental psych,new weird america
experimental psych,slow core
freak folk,free folk
free folk,garage psych
free folk,indie folk
free folk,lo-fi
free folk,neo-psychedelic
free folk,new weird america
free folk,slow core
garage psych,new weird america
canadian pop,lebanese pop
classical performance,theme
cologne electronic,minimal techno
deep indian pop,ghazal
ghazal,tamil pop
calypso,soca
bubblegum dance,dakke dak
dakke dak,eurodance
dakke dak,europop
dakke dak,hands up
argentine telepop,latin
argentine telepop,latin arena pop
afrofuturism,afropop
afrofuturism,contemporary post-bop
afrofuturism,fourth world
afrofuturism,jazz
afrofuturism,jazz funk
afrofuturism,jazz harp
afropop,art rock
afropop,avant-garde jazz
afropop,contemporary post-bop
afropop,experimental
afropop,fourth world
afropop,free jazz
afropop,jazz
afropop,jazz harp
afropop,spiritual jazz
art rock,contemporary post-bop
art rock,indie jazz
art rock,jazz
art rock,jazz funk
art rock,jazz harp
avant-garde jazz,fourth world
avant-garde jazz,jazz harp
contemporary post-bop,fourth world
contemporary post-bop,jazz harp
experimental,indie jazz
experimental,jazz funk
experimental,jazz harp
fourth world,free jazz
fourth world,indie jazz
fourth world,jazz
fourth world,jazz funk
fourth world,jazz harp
fourth world,spiritual jazz
free jazz,jazz harp
jazz,jazz harp
jazz harp,spiritual jazz
rock-and-roll,space age pop
space age pop,surf music
adult standards,swamp pop
brill building pop,swamp pop
deep adult standards,swamp pop
doo-wop,swamp pop
rhythm and blues,swamp pop
jazz saxophone,ragtime
jazz clarinet,tin pan alley
big band,motivation
motivation,swing
big band,jazz drums
jazz drums,stride
jazz drums,swing
big band,space age pop
space age pop,swing
jazz trumpet,ragtime
battle rap,bronx hip hop
calming instrumental,healing
dark wave,ethereal wave
dark wave,neoclassical
dark wave,steampunk
ethereal wave,gothic rock
ethereal wave,steampunk
gothic rock,neoclassical
gothic rock,steampunk
neoclassical,steampunk
jazz piano,norwegian jazz
doom metal,palm desert scene
palm desert scene,psychedelic doom
palm desert scene,retro metal
christmas instrumental,fingerstyle
christmas instrumental,string folk
fingerstyle,string folk
jazz violin,mandolin
jazz violin,progressive bluegrass
jazz quartet,jazz violin
fingerstyle,new age
microhouse,norwegian space disco
microhouse,nu disco
minimal techno,norwegian space disco
minimal techno,nu disco
blues rock,instrumental bluegrass
blues rock,neo classical metal
blues rock,progressive jazz fusion
blues rock,shred
instrumental bluegrass,instrumental rock
instrumental bluegrass,neo classical metal
instrumental bluegrass,progressive jazz fusion
instrumental bluegrass,shred
progressive jazz fusion,shred
indie punk,queercore
olympia wa indie,queercore
alternative pop,dance-punk
alternative pop,emo
alternative pop,experimental
alternative pop,experimental pop
alternative pop,indie punk
alternative pop,industrial rock
alternative pop,no wave
alternative pop,olympia wa indie
alternative pop,post-rock
alternative rock,emo
alternative rock,olympia wa indie
dance-punk,gbvfi
dream pop,emo
dream pop,no wave
dream pop,olympia wa indie
emo,experimental
emo,experimental pop
emo,experimental rock
emo,garage psych
emo,gbvfi
emo,industrial rock
emo,math rock
emo,no wave
emo,noise pop
emo,noise rock
emo,nu gaze
emo,olympia wa indie
emo,post-punk
emo,post-rock
emo,slow core
experimental,garage psych
experimental,indie punk
experimental,indie rock
experimental,nu gaze
experimental,olympia wa indie
experimental pop,gbvfi
experimental pop,indie punk
experimental pop,industrial rock
experimental pop,olympia wa indie
experimental rock,industrial rock
experimental rock,olympia wa indie
freak folk,industrial rock
freak folk,olympia wa indie
garage psych,industrial rock
garage psych,no wave
garage psych,olympia wa indie
garage psych,post-hardcore
garage psych,post-punk
gbvfi,indie punk
gbvfi,industrial rock
gbvfi,nu gaze
